PSA-Nr;Aufstellort;PLZ;Bezirk/Gebiet;Abschnitt von;Abschnitt bis;Stellplätze;Roter Punkt;Gebührenzeit;Gebühr je 20 Minuten;Höchstparkdauer;Tagesgebühr 4,00 €;GeoKoordinateNord;GeoKoordinateOst
1250;Unter Kahlenhausen 39;;Kunibertsviertel;Thürmchenswall;Dagobertstrasse;13;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9492775;6,9594766
1251;Am Salzmagazin 5;;Eigelsteinviertel;Eintrachtstr.;Ursulaplatz;8;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9492775;6,9594766
1252;Bremer Str. 1;;Eigelsteinviertel;Hansaring;Maybachstrasse;14;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9478821;6,9481823
1253;Eintrachtstr. 14;;Eigelsteinviertel;Eigelstein;Am Salzmagazin;13;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9478821;6,9481823
1254;Gereonsmühlengasse 26;;Eigelsteinviertel;Kyotostrasse;Gereonswall;7;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9478821;6,9481823
1255;Gereonswall 29;;Eigelsteinviertel;Hamburger Strasse;Weidengasse;22;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9487646;6,9544122
1256;Gereonswall 45;;Eigelsteinviertel;Ritterstrasse;Hamburger Strasse;31;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9477354;6,9519184
1257;Alter Mühlenweg 49;;Deutz V;Teutonenstraße;Cheruskerstraße;17;DEUTZ V;Mo-Sa 09:00 - 21:00;0,50 €;12;JA;50,9304878;6,9759296
1258;Hansaring 75;;Eigelsteinviertel;Ritterstrasse;Bremer Strasse;13;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9480248;6,9490887
1259;Ritterstr. 30/ Im Glockenring;;Eigelsteinviertel;Hamburger Strasse;Ritterstrasse;11;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9477503;6,9529688
1260;Machabäerstr. 1;;Eigelsteinviertel;Eigelstein;Turiner Strasse;5;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9467936;6,9569043
1261;Plankgasse 13;;Eigelsteinviertel;Ritterstrasse;Hamburger Strasse;7;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9471852;6,9529215
1262;Ritterstr. 52;;Eigelsteinviertel;Maybachstrasse;Hansaring;4;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,948239;6,9513501
1263;Thürmchenswall 4;;Eigelsteinviertel;Turiner Strasse;Eigelstein;15;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9492301;6,9573263
1264;Ursulagartenstr. 6;;Eigelsteinviertel;Ursulakloster;Eintrachtstrasse;12;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9460033;6,9541322
1265;Ursulakloster 21;;Eigelsteinviertel;Eintrachtstrasse;Ursulaplatz;7;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9459523;6,9532077
1266;Ursulakloster 15;;Eigelsteinviertel;Ursulagartenstrasse;Ursulastrasse;15;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9456596;6,9533242
1267;Ursulaplatz 8;;Eigelsteinviertel;Am Salzmagazin;Marzellenstrasse;5;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9456596;6,9533242
1268;Albertusstr. 49;;Gereonsviertel;Magnusstr.;Friesenstr.;12;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9456596;6,9533242
1269;Altengrabengäßchen 1;50668;Gereonsviertel;Kardinals-Frings-Str.;Klingelpütz;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94461439;6,95048637
1270;Am Kümpchenshof 11;50670;Gereonsviertel;Hansaring;Gereonswall;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9459551;6,94628694
1271;Blumenstr. 5;;Gereonsviertel;Gereonsmühlengasse;Probsteigasse;16;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9448523;6,9470713
1272;Cardinalstraße;;Gereonsviertel;Gereonstraße;Mohrenstraße;12;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9423725;6,9482363
1273;Friesenstr. 63;;Gereonsviertel;Römergasse;Friesenwall;9;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,940705;6,9418551
1274;Steinfelder Gasse 35/ Gereonsdriesch;;Gereonsviertel;Gereonstrasse;Steinfelder Gasse;15;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9427801;6,9469246
1275;Gereonshof 17;;Gereonsviertel;Norbertstrasse;Spiesergasse;7;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9426906;6,9446592
1276;Hansaring 2;;Gereonsviertel;Christophstrasse;Von-Werth-Strasse;3;GER;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9456675;6,9437508
1277;Im Klapperhof 33;;Gereonsviertel;Friesenwall;Spiesergasse;9;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9415804;6,9419312
1278;Magnusstr. 20;50672;Gereonsviertel;Römergasse;Friesenplatz;5;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94011922;6,9420586
1279;Alter Mühlenweg 59/61;;Deutz V;Teutonenstraße;Cheruskerstraße;19;DEUTZ V;Mo-Sa 09:00 - 21:00;0,50 €;12;JA;50,9310455;6,9753432
1280;Bebelplatz 18;;Deutz V;Teutonenstraße;Cheruskerstraße;14;DEUTZ V;Mo-Sa 09:00 - 21:00;0,50 €;12;JA;50,9304063;6,9748568
1281;Marzellenstr. 32;;Gereonsviertel;Ursulaplatz;Domprobst-Ketzer-Str.;19;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,943509;6,9560103
1282;Probsteigasse 40;50670;Gereonsviertel;Christophstrasse;Gereonswall;6;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94507549;6,94620298
1283;Probsteigasse 12;50670;Gereonsviertel;Christophstrasse;Gereonswall;10;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94432493;6,94577684
1284;Spiesergasse 8;50670;Gereonsviertel;Gereonshof;Im Klapperhof;16;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,942151;6,9444815
1285;Steinfelder Gasse 20;;Gereonsviertel;Gereonsdriesch;Magnusstrasse;14;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,941783;6,946021
1286;Stolkgasse;50667;Gereonsviertel;Enggasse;Unter Sachsenhausen;29;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,943259;6,95391253
1287;Bebelplatz 8;;Deutz V;Teutonenstraße;Cheruskerstraße;34;DEUTZ V;Mo-Sa 09:00 - 21:00;0,50 €;12;JA;50,941783;6,946021
1288;An den Gelenkbogenhallen 11.B;;rrh. ohne BWP;Von-Gablenz-Straße;Brügelmannstraße;16;;Mo-So 09:00 - 23:00;0,50 €;14;JA;50,941783;6,946021
1289;Unter Sachsenhausen 37;;Gereonsviertel;Kattenbug;Tunisstrasse;7;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,941783;6,946021
1290;Victoriastr. 19;50670;Gereonsviertel;Klingelpütz;Kardinal-Frings-Str.;13;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9450419;6,9509799
1291;Von-Werth-Str. 34;;Gereonsviertel;Geronswall;Hansaring;13;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,944285;6,944879
1292;Von-Werth-Str. 39;;Gereonsviertel;Christophstr.;Hansaring;24;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,944773;6,944062
1293;Von-Werth-Str. 33;;Gereonsviertel;Christophstrasse;Gereonswall;16;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9446553;6,9439913
1294;Komödienstr. 99;50667;Gereonsviertel;Tunisstrasse;Kattenbug;7;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94145822;6,95189454
1295;Am Pantaleonsberg 7;50676;Pantaleonsviertel;Am Weidenbach;Trierer Str.;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9285208;6,9467183
1296;Am Trutzenberg 21;50676;Pantaleonsviertel;Vor den Siebenburgen;Steinstr.;15;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9280198;6,9492737
1297;Am Trutzenberg 5;;Pantaleonsviertel;Steinstr.;Martinsfeld;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9285346;6,9498985
1298;Am Weidenbach 25;50676;Pantaleonsviertel;Friedrichstr.;Michaelstr.;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,928483;6,9463079
1299;Am Weidenbach 22;50676;Pantaleonsviertel;Michaelstr.;Pantaleonswall;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279786;6,9456298
1300;Am Weidenbach 39;50676;Pantaleonsviertel;Salierring;Pantaleonswall;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,927452;6,9456819
1301;Barbarossaplatz 4;50674;Pantaleonsviertel;Neue Weyerstr.;Neue Weyerstr.;8;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,928945;6,9426686
1302;Friedenstr. 2;50676;Pantaleonsviertel;Martinsfeld;Perlengraben;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9295248;6,953655
1303;Friedenstr. 37;50676;Pantaleonsviertel;Martinsfeld;Perlengraben;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9284225;6,9524962
1304;Heinrichstr. 39;50676;Pantaleonsviertel;Wilhelm-Hoßdorf-Str.;Martinsfeld;20;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8729536;7,0247949
1305;Martinsfeld 6;50676;Pantaleonsviertel;Schnurgasse;Heinrichstraße;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279874;6,9528346
1306;Martinsfeld 26;;Pantaleonsviertel;Heinrichstraße;Am Trutzenberg;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279874;6,9528346
1307;Michaelstr. 5;50676;Pantaleonsviertel;Am Weidenbach;Pantaleonsmühlengasse;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9282501;6,9453559
1308;Pantaleonsmühlengasse 42;50676;Pantaleonsviertel;Salierring;Pantaleonswall;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279673;6,9440985
1309;Pantaleonswall 13;50676;Pantaleonsviertel;Am Weidenbach;Waisenhausgasse;21;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9271519;6,9463763
1310;Pantaleonswall 36;50676;Pantaleonsviertel;Pantaleonsmühlengasse;Trierer Straße;7;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9283767;6,9446861
1311;Pantaleonswall;50676;Pantaleonsviertel;Pantaleonsmühlengasse;Trierer Straße;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279864;6,9451271
1312;Pantaleonsmühlengasse 24;50676;Pantaleonsviertel;Pantaleonswall;Friedrichstraße;7;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9291561;6,9446536
1313;Paulstr. 27;50676;Pantaleonsviertel;Ulrichgasse;Schnurgasse;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9273617;6,9535269
1314;Quirinstr. 15;50676;Pantaleonsviertel;Waisenhausgasse;Martinsfeld;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9292071;6,9507077
1315;Quirinstr. 3;50676;Pantaleonsviertel;Waisenhausgasse;Martinsfeld;4;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9286313;6,950923
1316;Salierring 28;50677;Pantaleonsviertel;Am Weidenbach;Trierer Straße;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,927417;6,9447633
1317;Schnurgasse 35;50676;Pantaleonsviertel;Paulstraße;Ankerstraße;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9280199;6,9537234
1318;Steinstr. 29;50676;Pantaleonsviertel;Am Trutzenberg;Schnurgasse;11;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8900155;7,0546614
1319;Trierer Str. 30;50676;Pantaleonsviertel;Am Weidenbach;Salierring;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93477;6,84059
1320;Vor den Siebenburgen 29;50676;Pantaleonsviertel;Schnurgasse;Am Trutzenberg;11;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,926789;6,951559
1321;Vor den Siebenburgen 54-62;50676;Pantaleonsviertel;Schnurgasse;Am Trutzenberg;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9272249;6,9504195
1322;Vor den Siebenburgen 32;50676;Pantaleonsviertel;Schnurgasse;Am Trutzenberg;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9271461;6,9507119
1323;Vor den Siebenburgen 74;50676;Pantaleonsviertel;Am Trutzenberg;Waisenhausgasse;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9277517;6,948553
1324;Waisenhausgasse 27;50676;Pantaleonsviertel;Martinsfeld;Quirinstraße;9;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9290962;6,9499909
1325;Agilolfstr. 3;50678;Südliche Neustadt II;Maternus-Kirch-Platz;Alteburger Wall;24;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91664992;6,96293882
1326;Alteburger Str. 53;50678;Südliche Neustadt II;Teutoburger Str.;Maternusstr.;23;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91960443;6,96247162
1327;Alteburger Str. 81;50678;Südliche Neustadt II;Eburonenstr.;Teutoburger;12;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91843255;6,96285225
1328;Alteburger Wall 17;;Südliche Neustadt II;Bonner Str.;Alteburger Str.;32;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9160311;6,9631738
1329;Alteburger Wall 16;50678;Südliche Neustadt II;Bonner Str.;Alteburger Platz;40;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91628261;6,96201754
1330;Bonner Wall 106;;Südliche Neustadt II;Wormser Str.;Vorgebirgstraße;4;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9172954;6,953567
1331;Bonner Wall 94;50677;Südliche Neustadt II;Wormser Str.;Vorgebirgstraße;10;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,91708713;6,95449573
1332;Darmstädter Str. 12;50678;Südliche Neustadt II;Alteburger Str.;Kurfürstenstr.;42;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91924261;6,96120818
1333;Eburonenstr. 12;50678;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;45;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91829239;6,96378923
1334;Elsaßstr. 65;50677;Südliche Neustadt II;Merowingerstr.;Metzer Str.;43;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9210447;6,956074
1335;Elsaßstr. 5;50677;Südliche Neustadt II;Merowingerstr.;Bonner Str.;23;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91980661;6,95933544
1336;Elsaßstr. 47;50677;Südliche Neustadt II;Merowingerstr.;Bonner Str.;21;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9203446;6,9578791
1337;Kurfürstenstr. 23;50678;Südliche Neustadt II;Bonner Str.;Alteburger Str.;16;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92064958;6,96149922
1338;Loreleystr. 5;;Südliche Neustadt II;Vorgebirgstr.;Martin-Luther-Platz;28;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9206834;6,9613812
1339;Lothringer Str. 39;50677;Südliche Neustadt II;Vorgebirgstr.;Metzer Str.;20;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92244232;6,95288032
1340;Lothringer Str. 17;50677;Südliche Neustadt II;Vorgebirgstr.;Metzer Str.;23;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9219387;6,9540316
1341;Martin-Luther-Platz 25-27;50677;Südliche Neustadt II;Volksgartenstr.;Loreleystraße;5;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91984386;6,95244297
1342;Maternuskirchplatz 16;50678;Südliche Neustadt II;Agilolfstr.;Siegfriedstr.;11;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9169557;6,96304251
1343;Maternusstr. 26;50678;Südliche Neustadt II;Mainzer Str.;Trajanstr.;36;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,89225208;6,99278062
1344;Metzer Str. 14;50677;Südliche Neustadt II;Vondel Str.;Elsaßstr.;19;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9212827;6,9545901
1345;Metzer Str. 28;50677;Südliche Neustadt II;Volksgartenstr.;Vondel Str.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9205784;6,95393144
1346;Oberländer Wall 16-22;50678;Südliche Neustadt II;Titusstr.;Mainzer Str.;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91757824;6,96655966
1347;Ohmstr. 6;50677;Südliche Neustadt II;Rolandstr.;Zugweg;20;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,88273972;7,06694478
1348;Siegfriedstr. 7;50678;Südliche Neustadt II;Alteburger Wall;Maternus-Kirch-Platz;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91695215;6,96201165
1349;Titusstr. 12;50678;Südliche Neustadt II;Mainzer Str.;Oberländer Wall;75;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91858572;6,96596719
1350;Veledastr. 719;;Südliche Neustadt II;Alteburger Str.;Bonner Str.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9456596;6,9533242
1351;Vondelstr. 13;50677;Südliche Neustadt II;Metzer Str.;Merowingerstr.;13;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9206357;6,9548354
1352;Vondelstr. 49;50677;Südliche Neustadt II;Metzer Str;Vorgebirgstr.;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92165838;6,95256699
1353;Vondelstr. 33;50677;Südliche Neustadt II;Metzer Str.;Vorgebirgstr.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92116445;6,95369994
1354;Vorgebirgstraße 1;50677;Südliche Neustadt II;Lothringer Str.;Sachsenring;6;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9224957;6,95202763
1355;Wormser Str. 45;50677;Südliche Neustadt II;Bonner Wall;Martin-Luther-Platz;39;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9188644;6,95402822
1356;Wormser Str. 23;50677;Südliche Neustadt II;Bonner Wall;Martin-Luther-Platz;43;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91802421;6,95483479
1357;Zugweg 18;50677;Südliche Neustadt II;Rolandstraße;Ohmstraße;33;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9189849;6,95871333
1358;Zugweg 9;50677;Südliche Neustadt II;Ohmstraße;Bonner Str.;11;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91922454;6,95928977
1359;Aquinostr. 12;;Agnesviertel I;Balthasarstraße;Sudermanplatz;44;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9456596;6,9533242
1360;Balthasarstr. 6;;Agnesviertel I;Krefelder Str.;Kasparstr.;38;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9456596;6,9533242
1361;Kasparstr. 4;;Agnesviertel I;Melchiorstraße;Kasparstraße;22;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9456596;6,9533242
1362;Kasparstr. 1;;Agnesviertel I;Sudermanplatz;Balthasarstraße;28;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9456596;6,9533242
1363;Kasparstr. 16;;Agnesviertel I;Krefelder Wall;Balthasarstraße;38;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1364;Krefelder Str. 72;;Agnesviertel I;Krefelder Wall;Gladbacher Wall;15;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1365;Krefelder Wall 30;;Agnesviertel I;Prälat-Otto-Müller-Platz;Kasparstraße;35;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1366;Maybachstr. 140;;Agnesviertel I;Ritterstraße;Krefelder Straße;5;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1367;Maybachstr. 140;;Agnesviertel I;Krefelder Straße;Ritterstraße;8;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1368;Balthasarstr. 89;;Agnesviertel II;Lupusstraße;Hülchrather Str.;27;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1369;Hülchrather Str. 3;;Agnesviertel II;Weißenburgstraße;Balthasarstraße;24;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1370;Lupusstr. 5;;Agnesviertel II;Schillingstraße;Balthasarstraße;34;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1371;Lupusstr. 45;;Agnesviertel II;Neusser Straße;Lupusstraße;4;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1372;Schillingstr. 46;;Agnesviertel II;Neusser Straße;Lupusstraße;68;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1373;Nikolaus-Groß-Str. 8;;Agnesviertel I;Bernhard-Letterhaus-Str.;Innere Kanalstraße;40;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8908493;7,0607798
1374;Bernhard-Letterhaus-Str. 12;;Agnesviertel I;Nikolaus-Groß-Str.;Wickrather Straße;28;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9551369;6,9525126
1375;Bernhard-Letterhaus-Str. 38;;Agnesviertel I;Neusser Straße;Nikolaus-Groß-Str.;17;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9551369;6,9525126
1376;Ewaldistr. 3;;Agnesviertel I;Weißenburgstraße;Melchior;53;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9551369;6,9525126
1377;Krefelder Wall 35;;Agnesviertel I;Prälat-Otto-Müller-Platz;Neusser -Straße;57;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9551369;6,9525126
1378;Melchiorstr. 21;;Agnesviertel I;Balthasarstraße;Weißenburgstraße;53;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9551369;6,9525126
1379;Weißenburgstr. 5;;Agnesviertel I;Prälat-Otto-Müller-Platz;Neusser Straße;42;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9542183;6,9553114
1380;Wevelinghovener Str. 20;;Agnesviertel I;Krefelder Straße;Prälat-Otto-Müller-Platz;55;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9544735;6,953196
1381;Wickrather Str. 7;;Agnesviertel I;Bernhard-Letterhaus-Str.;Innere Kanalstraße;21;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9548803;6,9511287
1382;Alvenslebenstr. 5;;Agnesviertel II;Neusser Wall;Blumenthalstr.;34;AGN II;Mo-Sa 09:00 - 21:00;1,00 €;4;;50,9553;6,966
1383;Am Zuckerberg 5;;Agnesviertel II;Riehler Platz;Neusser Str.;38;AGN II;Mo-Sa 09:00 - 21:00;1,00 €;4;;50,9556998;6,9667692
1384;Blumenthalstr. 22;;Agnesviertel II;Neusser Platz;Hüchelrather Straße;29;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9550926;6,9602893
1385;Blumenthalstr. 81;;Agnesviertel II;Aduchtstraße;Merlostraße;23;AGN II;Mo-Sa 09:00 - 21:00;1,00 €;4;;50,9552;6,96429
1386;Hülchrather Str. 17;;Agnesviertel II;Blumenthalstraße;Weißenburgstraße;16;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,95477;6,96111
1387;Hülchrather Str. 33;;Agnesviertel II;Blumenthalstraße;Neusser Wall;32;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,955816;6,9613724
1388;Neusser Platz 12;;Agnesviertel II;Weißenburgstraße;Neusser Wall;35;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,95499;6,9581
1389;Neusser Wall 46;;Agnesviertel II;Aduchtstraße;Am Zuckerberg;49;AGN II;Mo-So 09:00 - 21:00;1,00 €;4;;50,9562139;6,9656858
1390;Neusser Wall 52;;Agnesviertel II;Am Zuckerberg;Riehler Straße;28;AGN II;Mo-So 09:00 - 21:00;1,00 €;4;;50,9562139;6,9656858
1391;Aachener Str. 18/20;;Belgisches Viertel;Brabanter Str.;Brüsseler Str.;10;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9562139;6,9656858
1392;Bismarckstr. 23;;Belgisches Viertel;Venloer Straße;Kamekestraße;10;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9562139;6,9656858
1393;Bismarckstr. 17;;Belgisches Viertel;Kamekestraße;Hohenzollernring;7;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9421172;6,9382447
1394;Bismarckstr. 33;;Belgisches Viertel;Brüsseler Straße;Venloer Straße;6;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9411973;6,935561
1395;Bismarckstr. 28;;Belgisches Viertel;Kamekestraße;Venloer Straße;9;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9411973;6,935561
1396;Bismarckstr. 47;;Belgisches Viertel;Antwerpener Straße;Brüsseler Straße;9;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9411973;6,935561
1397;Brabanter Str. 15;;Belgisches Viertel;Masstrichter Straße;Lütticher Straße;27;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
1398;Brüsseler Str. 104;;Belgisches Viertel;Bismarckstraße;Venloer Straße;12;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
1399;Brüsseler Str. 73;;Belgisches Viertel;Bismarckstraße;Antwerpener Straße;14;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
1400;Brüsseler Str. 94;;Belgisches Viertel;Antwerpener Straße;Bismarckstraße;15;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
1401;Erftstr. 3;;Belgisches Viertel;Hermann-Becker-Str.;Hansaring;29;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
1402;Erftstr. 19;;Belgisches Viertel;Spichernstraße;Hermann-Becker-Str.;4;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9378022;6,9372626
